index,country,iso3Code,year,Armed forces (% labor force),government  consumption exp (% of GDP),Population density,"Population, total","Unemployment, total (% of total labor force) (modeled ILO estimate)",immigration_100k
179,Bhutan,BTN,2017,0,18.18510425,19.77598049,754335,3.016,7.2911902536671365
180,Bhutan,BTN,2018,0,18.49492547,19.92026744,759759,3.35,1.3162068498036876
181,Bhutan,BTN,2019,0,19.11774739,20.05306765,764824,2.72,0.6537451753606058
182,Bhutan,BTN,2020,0,22.31535435,20.1889355,770006,5.03,0
183,Bhutan,BTN,2021,0,22.67222515,20.33146303,775442,4.803,1.2895871000023214
184,Bhutan,BTN,2022,0,21.01733133,20.47493445,780914,5.947,0
185,Bhutan,BTN,2023,0,21.01733133,20.47493445,786385,3.126,3.1791043827133016
186,Bolivia,BOL,2015,1.420484868,17.49525821,10.16773285,11014705,3.111,0.5447263453719369
187,Bolivia,BOL,2016,1.396069398,17.45825219,10.32033601,11180020,3.498,0.9838980610052576
188,Bolivia,BOL,2017,1.339947263,17.02164005,10.47224868,11344587,3.655,0.749256011
189,Bolivia,BOL,2018,1.258427125,17.52564467,10.6234358,11508368,3.519,1.0427195237413331
190,Bolivia,BOL,2019,1.193996117,18.143092,10.77391858,11671386,3.682,0.9424758978925039
191,Bolivia,BOL,2020,1.195397484,19.73863444,10.90768854,11816299,7.903,0.7193453720153832
192,Bolivia,BOL,2021,1.195397484,19.33698457,11.0194406,11937360,5.089,1.2146739312544816
193,Bolivia,BOL,2022,1.195397484,19.08991604,11.14848518,12077154,3.552,0.9936115743825077
194,Bolivia,BOL,2023,1.195397484,19.28636427,11.14848518,12244159,3.024,1.020894943
195,Bosnia and Herzegovina,BIH,2015,0.692187054,21.96980753,68.72150391,3518541,27.695,5.399965497062561
196,Bosnia and Herzegovina,BIH,2016,0.702834296,20.90945001,67.83208984,3473003,25.408,4.175061179043036
197,Bosnia and Herzegovina,BIH,2017,0.747793669,20.16533362,66.96644531,3428682,20.527,2.7707439768400803
198,Bosnia and Herzegovina,BIH,2018,0.725251818,19.65735729,66.15234375,3387000,18.4,4.576321228225568
199,Bosnia and Herzegovina,BIH,2019,0.773257657,19.35897003,65.34244141,3345533,15.692,3.437419388779008
200,Bosnia and Herzegovina,BIH,2020,0.791177934,20.75034602,64.44041016,3299349,15.868,0.9092702833195275
201,Bosnia and Herzegovina,BIH,2021,0.791177934,19.40152057,63.37708984,3244907,14.897,2.0031390730150354
202,Bosnia and Herzegovina,BIH,2022,0.791177934,18.6619176,62.59378906,3204802,12.657,1.7161746653927452
203,Bosnia and Herzegovina,BIH,2023,0.791177934,19.18011085,62.59378906,3185073,10.668,1.8837872789728838
204,Botswana,BWA,2015,1.000492465,31.63939897,3.887694317,2203273,18.93,4.084831974975412
205,Botswana,BWA,2016,0.979664345,28.47572183,3.943281633,2234776,19.329,2.461096772114968
206,Botswana,BWA,2017,0.957556826,28.87808595,3.99969474,2266747,19.664,2.6469650119753108
207,Botswana,BWA,2018,0.934601761,29.09851895,4.056854234,2299141,19.681,2.1747252560847725
208,Botswana,BWA,2019,0.911043671,31.6419395,4.114980679,2332083,20.094,1.929605421419392
209,Botswana,BWA,2020,0.917966439,36.14305095,4.174640481,2365894,21.017,0.6340098077090521
210,Botswana,BWA,2021,0.917966439,31.52924105,4.237363471,2401441,23.106,1.4574582511083969
211,Botswana,BWA,2022,0.917966439,27.88729499,4.305210594,2439892,23.615,0.8197084133232128
212,Botswana,BWA,2023,0.917966439,28.94315219,4.305210594,2480244,23.381,1.2095584144140656
213,Brazil,BRA,2015,0.725238095,19.77681996,24.12923593,201675532,8.538,0.8578135299030722
214,Brazil,BRA,2016,0.715999444,20.37929743,24.31379637,203218114,11.58,0.8488416539482303
215,Brazil,BRA,2017,0.705476856,20.1619047,24.49150708,204703445,12.792,1.3434068000174593
216,Brazil,BRA,2018,0.728325342,19.89508778,24.65946502,206107261,12.329,1.9140519265839935
217,Brazil,BRA,2019,0.717090966,19.98358129,24.82076862,207455459,11.936,2.5499449498699382
218,Brazil,BRA,2020,0.76198572,20.13515302,24.96498527,208660842,13.697,1.7756086693065294
219,Brazil,BRA,2021,0.76198572,18.54758836,25.07140273,209550294,13.158,5.447379615702185
220,Brazil,BRA,2022,0.76198572,18.40221272,25.16186795,210306415,9.231,3.4901455573763647
221,Brazil,BRA,2023,0.76198572,18.2188135,25.16186795,211140729,7.947,3.424256435147574
222,British Virgin Islands,VGB,2020,0,0,247.5666667,37135,0,0
223,Brunei Darussalam,BRN,2015,4.364566327,25.0616661,80.11612903,422212,7.726,1.1842391973700417
224,Brunei Darussalam,BRN,2016,5.627906977,26.22317864,81.1316888,427564,8.574,0
225,Brunei Darussalam,BRN,2017,3.669303979,26.47724699,82.1199241,432772,9.316,0
226,Brunei Darussalam,BRN,2018,3.629619465,24.14172854,83.07590133,437810,8.7,0
227,Brunei Darussalam,BRN,2019,3.573390746,25.04039617,84,442680,6.6,0
228,Brunei Darussalam,BRN,2020,3.561618221,25.43098596,84.89639469,447404,7.409,0
229,Brunei Darussalam,BRN,2021,3.561618221,22.467059,85.71555977,451721,4.905,0
230,Brunei Darussalam,BRN,2022,3.561618221,20.12423823,86.40796964,455370,5.191,0
231,Brunei Darussalam,BRN,2023,3.561618221,22.81804665,86.40796964,458949,5.183,0
232,Bulgaria,BGR,2015,1.41195505,16.08914146,66.120035,7177991,9.143,5.154645638313005
233,Bulgaria,BGR,2016,0.958089844,15.58886361,65.65790346,7127822,7.575,5.190926484976758
234,Bulgaria,BGR,2017,0.921287568,15.58457694,65.18005711,7075947,6.164,4.310377113
235,Bulgaria,BGR,2018,1.109531976,16.44139557,64.71109985,7025037,5.211,2.633438087230003
236,Bulgaria,BGR,2019,1.095602901,16.77297548,64.25719418,6975761,4.23,2.3653333306574007
237,Bulgaria,BGR,2020,1.119042197,19.30764507,63.87265107,6934015,5.125,1.370057607316973
238,Bulgaria,BGR,2021,1.119042197,18.88518604,63.35430177,6877743,5.267,2.3990428255315734
239,Bulgaria,BGR,2022,1.119042197,18.27892906,61.1949521,6643324,4.268,2.0321152483305043
240,Bulgaria,BGR,2023,1.119042197,18.4205974,61.1949521,6446596,4.319,2.0941284361545223
241,Burkina Faso,BFA,2015,0.176505499,15.94408026,68.63116594,18777487,4.461,1.278126301
242,Burkina Faso,BFA,2016,0.177275235,16.5070966,70.66833333,19334856,4.587,1.4481618068425233
243,Burkina Faso,BFA,2017,0.171270895,17.73932315,72.71347588,19894407,4.656,1.3068999744501055
244,Burkina Faso,BFA,2018,0.175742512,18.41940948,74.70134503,20438288,4.695,1.4433694250712192
245,Burkina Faso,BFA,2019,0.17430666,20.49994241,76.61532164,20961952,4.71,1.0972260598631274
246,Burkina Faso,BFA,2020,0.177629961,19.78414015,78.50398392,21478690,5.04,0.8147610492073772
247,Burkina Faso,BFA,2021,0.177629961,20.24798045,80.39197003,21995243,5.2,1.5003244110556087
248,Burkina Faso,BFA,2022,0.177629961,19.87077318,82.26987573,22509038,5.389,2.2213299386673033
249,Burkina Faso,BFA,2023,0.177629961,19.97507117,82.26987573,23025776,5.348,1.867472349248946
250,Burundi,BDI,2015,0.88128983,22.42238344,430.2017134,11047580,1.442,8.553909544
251,Burundi,BDI,2016,1.086240472,23.47319363,437.6733255,11239451,1.347,5.649742144878784
252,Burundi,BDI,2017,0.645723964,25.08628881,448.0826324,11506762,1.247,6.952433708110066
253,Burundi,BDI,2018,1.028653594,26.21026746,461.816433,11859446,1.146,9.233146303798677
254,Burundi,BDI,2019,0.99045185,27.24477,477.2327103,12255336,1.043,12.729149164086566
255,Burundi,BDI,2020,0.589718206,31.3443,491.3176012,12617036,1.03,6.380262369069883
256,Burundi,BDI,2021,0.589718206,30.77247,504.8863318,12965481,1.118,9.718112270574458
257,Burundi,BDI,2022,0.589718206,30.9754527,518.7343069,13321097,0.915,11.898419477014544
258,Burundi,BDI,2023,0.589718206,30.50530896,518.7343069,13689450,0.921,7.5240422369050615
259,Cabo Verde,CPV,2015,0.555735655,20.25946357,127.1449132,512394,11.907,0
260,Cabo Verde,CPV,2016,0.553538727,19.83164452,127.1846154,512554,12.077,0
261,Cabo Verde,CPV,2017,0.460195399,17.76753513,127.2687345,512893,12.24,0
262,Cabo Verde,CPV,2019,0.472875842,19.8144672,127.5692308,514104,12.128,0
263,Cabo Verde,CPV,2020,0.493356949,25.72931048,127.7119107,514679,14.69,0
264,Cabo Verde,CPV,2021,0.493356949,26.58763251,128.2007444,516649,13.976,0
265,Cabo Verde,CPV,2022,0.493356949,22.365022,128.9679901,519741,12.246,1.9240352406294672
266,Cabo Verde,CPV,2023,0.493356949,21.75335973,128.9679901,522331,11.971,0
267,Cambodia,KHM,2015,2.259727637,5.461082875,88.50697371,15623251,0.393,1.3121468764727648
268,Cambodia,KHM,2016,2.165630794,5.320850037,89.80740426,15852803,0.716,1.6085483431542043
269,Cambodia,KHM,2017,2.137267636,5.244503357,91.05694539,16073372,0.141,1.3998307262471124
270,Cambodia,KHM,2018,2.095681614,4.948207579,92.19647632,16274522,0.13,1.2596376102474776
271,Cambodia,KHM,2019,2.04724769,4.809338638,93.36791298,16481304,0.119,1.456195456378937
272,Cambodia,KHM,2020,2.014759644,5.422165844,94.75115568,16725474,0.172,0.8669410505197043
273,Cambodia,KHM,2021,2.014759644,6.565786405,96.16080331,16974305,0.396,0.6185820273643016
274,Cambodia,KHM,2022,2.014759644,5.899853929,97.44915024,17201724,0.231,1.2789415758560014
275,Cambodia,KHM,2023,2.014759644,6.077860903,97.44915024,17423880,0.225,1.0043687169562692
276,Cameroon,CMR,2015,0.254189814,12.25388558,48.15513528,22763414,3.518,8.917818741951448
277,Cameroon,CMR,2016,0.249463095,12.12434562,49.61638425,23454161,3.528,8.953635135360416
278,Cameroon,CMR,2017,0.251718266,11.68042445,51.04313638,24128601,3.568,9.470089044947116
279,Cameroon,CMR,2018,0.35513182,11.92001884,52.47695839,24806383,3.601,9.171026666805878
280,Cameroon,CMR,2019,0.345182887,12.09635125,53.95717247,25506095,3.622,11.546259825347628
281,Cameroon,CMR,2020,0.342516296,12.2819317,55.44743712,26210558,3.87,6.066257727134234
282,Cameroon,CMR,2021,0.342516296,12.04323631,56.93926086,26915758,3.973,9.511156995838645
283,Cameroon,CMR,2022,0.342516296,10.50755549,58.45607455,27632771,3.653,22.65426076885304
284,Cameroon,CMR,2023,0.342516296,10.58431522,58.45607455,28372687,3.613,41.20159645
285,Canada,CAN,2015,0.342536207,20.87782513,3.982392458,35704498,6.945,2.996821296857332
286,Canada,CAN,2016,0.339922338,21.04804019,4.027710725,36110803,7.038,2.3954050537175813
287,Canada,CAN,2017,0.357224065,20.70333139,4.076148363,36545075,6.426,2.626892953428061
288,Canada,CAN,2018,0.355052684,20.6814327,4.134989443,37072620,5.837,2.427667642589059
289,Canada,CAN,2019,0.346163249,20.66349609,4.195875007,37618495,5.69,2.7513062391251966
