index,country,year,"Birth rate, crude (per 1,000 people)",doing business score,government  consumption exp (% of GDP),Population living in slums (% of urban population),Unemployment intermediate education
305,Chad,2017,44.811,35.52606,4.32522476,82.56551,0
306,Chad,2018,44.37,36.66065,3.603393277,82,3.471
307,Chad,2019,44.229,36.93568,3.587512578,82,3.471
308,Chad,2020,43.849,36.93568,4.73537683,82,3.471
309,Chad,2021,43.357,36.93568,4.683119932,82,3.471
310,Chad,2022,43.184,36.93568,4.050717028,82,3.471
311,Chad,2023,43.184,36.93568,4.209122449,82,3.471
312,Chile,2015,13.211,71.17517,13.59211772,0,7.12
313,Chile,2016,12.7,71.58185,14.34266762,0,7.47
314,Chile,2017,12.13,71.951,14.6487132,0,7.813
315,Chile,2018,11.94,72.32025,14.85647376,0,8.001
316,Chile,2019,11.855,72.58023,15.25395573,0,8.172
317,Chile,2020,11.834,72.58023,16.02636187,0,11.747
318,Chile,2021,11.788,72.58023,14.72846244,0,9.989
319,Chile,2022,11.755,72.58023,14.67535232,0,8.884
320,Chile,2023,11.755,72.58023,15.10268919,0,9.869
321,China,2015,11.99,62.27669,16.21788677,0,0
322,China,2016,13.57,63.79116,16.36375556,0,0
323,China,2017,12.64,64.20096,16.32486222,0,0
324,China,2018,10.86,73.30366,16.53580834,0,0
325,China,2019,10.41,77.28424,16.77051091,0,0
326,China,2020,8.52,77.28424,17.13013339,0,0
327,China,2021,7.52,77.28424,15.8081384,0,0
328,China,2022,6.77,77.28424,16.05012775,0,0
329,China,2023,6.77,77.28424,16.50931118,0,0
330,Colombia,2015,15.585,68.85918,14.81162979,0,10.1
331,Colombia,2016,15.353,69.1652,14.54128472,10.42127,10.232
332,Colombia,2017,15.081,69.03524,14.88064263,10.42127,10.895
333,Colombia,2018,14.841,69.24335,15.42148086,9.7,11.041
334,Colombia,2019,14.682,70.05964,15.77323342,9.7,12.032
335,Colombia,2020,14.435,70.05964,17.15883586,9.7,12.032
336,Colombia,2021,14.204,70.05964,16.04633106,9.7,16.385
337,Colombia,2022,13.921,70.05964,13.99818069,9.7,12.716
338,Colombia,2023,13.921,70.05964,14.75378039,9.7,11.581
339,Comoros,2015,32.147,46.24941,10.59190468,0,0
340,Comoros,2016,31.756,46.37003,10.61491606,68.6,0
341,Comoros,2017,31.33,46.87233,10.82377663,68.6,0
342,Comoros,2018,30.859,47.01396,10.22968894,68.6,0
343,Comoros,2019,30.4,47.87291,10.0948841,68.6,0
344,Comoros,2020,29.896,47.87291,10.5607884,68.6,0
345,Comoros,2021,29.398,47.87291,10.14976369,68.6,7.011
346,Comoros,2022,28.887,47.87291,9.61494799,68.6,7.011
347,Comoros,2023,28.887,47.87291,9.25201678,68.6,7.011
348,"Congo, Dem. Rep.",2015,43.641,34.35533,9.056194741,0,0
349,"Congo, Dem. Rep.",2016,43.411,34.39028,7.437957422,76.98054,0
350,"Congo, Dem. Rep.",2017,43.251,34.57002,5.45682326,76.98054,0
351,"Congo, Dem. Rep.",2018,42.989,35.23313,6.317593895,77.90169,0
352,"Congo, Dem. Rep.",2019,42.656,36.20973,6.929147319,77.90169,0
353,"Congo, Dem. Rep.",2020,42.311,36.20973,7.575638237,78.36226,7.492
354,"Congo, Dem. Rep.",2021,42.049,36.20973,8.261796258,78.36226,7.492
355,"Congo, Dem. Rep.",2022,41.737,36.20973,9.364668955,78.36226,7.492
356,"Congo, Dem. Rep.",2023,41.737,36.20973,7.933348098,78.36226,7.492
357,"Congo, Rep.",2015,34.648,38.91712,19.30627143,0,0
