index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
180,Bhutan,BTN,2018,3.35,0,18.49492547,759759,19.92026744,1.3162068498036876
181,Bhutan,BTN,2019,2.72,0,19.11774739,764824,20.05306765,0.6537451753606058
182,Bhutan,BTN,2020,5.03,0,22.31535435,770006,20.1889355,0
183,Bhutan,BTN,2021,4.803,0,22.67222515,775442,20.33146303,1.2895871000023214
184,Bhutan,BTN,2022,5.947,0,21.01733133,780914,20.47493445,0
185,Bhutan,BTN,2023,3.126,0,21.01733133,786385,20.47493445,3.1791043827133016
186,Bolivia,BOL,2015,3.111,1.420484868,17.49525821,11014705,10.16773285,0.5447263453719369
187,Bolivia,BOL,2016,3.498,1.396069398,17.45825219,11180020,10.32033601,0.9838980610052576
188,Bolivia,BOL,2017,3.655,1.339947263,17.02164005,11344587,10.47224868,0.749256011
189,Bolivia,BOL,2018,3.519,1.258427125,17.52564467,11508368,10.6234358,1.0427195237413331
190,Bolivia,BOL,2019,3.682,1.193996117,18.143092,11671386,10.77391858,0.9424758978925039
191,Bolivia,BOL,2020,7.903,1.195397484,19.73863444,11816299,10.90768854,0.7193453720153832
192,Bolivia,BOL,2021,5.089,1.195397484,19.33698457,11937360,11.0194406,1.2146739312544816
193,Bolivia,BOL,2022,3.552,1.195397484,19.08991604,12077154,11.14848518,0.9936115743825077
194,Bolivia,BOL,2023,3.024,1.195397484,19.28636427,12244159,11.14848518,1.020894943
195,Bosnia and Herzegovina,BIH,2015,27.695,0.692187054,21.96980753,3518541,68.72150391,5.399965497062561
196,Bosnia and Herzegovina,BIH,2016,25.408,0.702834296,20.90945001,3473003,67.83208984,4.175061179043036
197,Bosnia and Herzegovina,BIH,2017,20.527,0.747793669,20.16533362,3428682,66.96644531,2.7707439768400803
198,Bosnia and Herzegovina,BIH,2018,18.4,0.725251818,19.65735729,3387000,66.15234375,4.576321228225568
199,Bosnia and Herzegovina,BIH,2019,15.692,0.773257657,19.35897003,3345533,65.34244141,3.437419388779008
200,Bosnia and Herzegovina,BIH,2020,15.868,0.791177934,20.75034602,3299349,64.44041016,0.9092702833195275
201,Bosnia and Herzegovina,BIH,2021,14.897,0.791177934,19.40152057,3244907,63.37708984,2.0031390730150354
202,Bosnia and Herzegovina,BIH,2022,12.657,0.791177934,18.6619176,3204802,62.59378906,1.7161746653927452
203,Bosnia and Herzegovina,BIH,2023,10.668,0.791177934,19.18011085,3185073,62.59378906,1.8837872789728838
204,Botswana,BWA,2015,18.93,1.000492465,31.63939897,2203273,3.887694317,4.084831974975412
205,Botswana,BWA,2016,19.329,0.979664345,28.47572183,2234776,3.943281633,2.461096772114968
206,Botswana,BWA,2017,19.664,0.957556826,28.87808595,2266747,3.99969474,2.6469650119753108
207,Botswana,BWA,2018,19.681,0.934601761,29.09851895,2299141,4.056854234,2.1747252560847725
208,Botswana,BWA,2019,20.094,0.911043671,31.6419395,2332083,4.114980679,1.929605421419392
209,Botswana,BWA,2020,21.017,0.917966439,36.14305095,2365894,4.174640481,0.6340098077090521
